mid_age,seropositive,age_lower,age_upper
2.06446872,0,0,5
7.37501113,4.66110501,5,10
12.451385,28.0746964,10,15
17.3130734,56.86845,15,20
24.8996155,66.6062999,20,30
39.7952973,81.7979396,30,50
59.2906659,88.961197,50,70
